step,previous_loss,current_loss,growth_ratio,is_nonfinite,previous_max_mode,previous_max_weighted_loss_by_mode,current_max_mode,current_max_weighted_loss_by_mode
3,635.005405117079,60364204.89743647,95060.93083775693,False,5,29168.346798305236,12,3018209135.671528
13,2.631976439537417,3140.8134036635065,1193.3288446212384,False,4,53.14884954837479,2,156923.36779388634
15,38.52974360860016,4679.161501792772,121.44284035018453,False,2,1814.5996069172124,2,233849.02957966327
16,4679.161501792772,36781920.39451418,7860.793088766347,False,2,233849.02957966327,2,1839095912.852252
19,1701379.598350308,1167830379.7900138,686.4020121802129,False,2,85068833.49056764,2,58391518885.100494
26,3981871.2239623084,3.727510012613724e+16,9361201814.318161,False,2,199093458.88528728,2,1.863755006306862e+18
32,12520043.761493068,1.2275201963570002e+17,9804440142.073538,False,2,626002086.2862028,2,6.137600981785001e+18
37,297448801.87528384,734019971730.7405,2467.718703531725,False,2,14872439992.12289,2,36700998586435.39
145,2.0684138023124485,1331.15664101409,643.5639906898133,False,4,53.14658777719479,7,66454.41442684956
170,68.82644918887767,3300989.288801206,47961.05752517368,False,33,3337.9048028268535,33,165048679.8143575
171,3300989.288801206,2.641893241317648e+21,800333781839408.4,False,33,165048679.8143575,33,1.3209466206476501e+23
172,2.641893241317648e+21,2.3530516814321097e+25,8906.687237136508,False,33,1.3209466206476501e+23,33,1.1765258384543353e+27
175,5.492894461025233e+26,1.214378644046373e+29,221.08173617078975,False,33,2.7445999751540626e+28,33,6.042145938544342e+30
178,1.2225454596967844e+30,3.9672877666433516e+32,324.5104495032289,False,5,6.101410695416502e+31,5,1.9836186996336052e+34
185,1.6087335854058059e+32,2.1106147738512197e+34,131.19728418666745,False,5,8.043667927029029e+33,5,1.0553073869256097e+36
