step,loss,initial_loss,residual_loss
1,60.153142691678696,47.48344768682007,12.66969500485862
2,9.404412031160197,5.62493275080046,3.779479280359737
3,28.652482397561894,6.6439629277936865,22.008519469768206
4,24.90144942378493,11.593010060971276,13.308439362813647
5,6.706381083378884,3.826915441558762,2.879465641820122
6,12.728646868035355,1.093470698438977,11.63517616959638
7,88.7013692859914,5.381364730511316,83.32000455548008
8,66583941852.523964,66437823246.66093,146118605.86304438
9,821392575192.1019,813468588712.1078,7923986479.994015
10,699205365301.5077,669719938874.2313,29485426427.276596
11,11444027823.382496,47641795.36507987,11396386028.017418
12,455537171.0035984,429578537.72236323,25958633.281235266
13,751151264.9468743,25214191.030771032,725937073.9161032
14,897399886.4297293,854937765.7890419,42462120.64068762
15,253368639576.64886,112322146737.90846,141046492838.74042
16,39754136978.515305,35106244814.21829,4647892164.297005
17,4091082596.929402,30314834.633215133,4060767762.2961864
18,3610921921.668302,98144569.16562058,3512777352.502681
19,1742020602.6072683,749719324.5454967,992301278.0617715
20,74328135.28543858,63658171.96295679,10669963.32248178
21,5507742.759043383,4392.776613264956,5503349.982430118
22,2855759.9480014415,4234.464526324859,2851525.4834751165
23,13151.46709209554,12805.748052880324,345.71903921521726
24,4.17503519427781,0.49523203331670934,3.6798031609611015
25,2.3201443473009045,0.49040771536717837,1.8297366319337254
26,9.06758340643621,0.5342213576509058,8.533362048785305
27,686.2821907476864,609.4745539175187,76.80763683016771
28,121.09024204962557,103.73188240731939,17.358359642306212
29,19.148884115411736,12.328709894603518,6.820174220808224
30,2.3277134378482685,0.4806376187445759,1.8470758191036925
31,2.3271605995932116,0.47978990127829724,1.8473706983149143
32,2.3263394320262067,0.47652216382129475,1.849817268204912
33,204.04999589430537,20.432568768278276,183.61742712602708
34,8941937908.628742,1848338060.7671893,7093599847.861553
35,7351600410.550908,5325229192.566617,2026371217.9842925
36,265494807511.43304,205916778722.25378,59578028789.17923
37,2106204040.3013132,1525639355.9016702,580564684.3996427
38,145349952289.1827,72635825264.758,72714127024.42471
39,488068767.04306144,353540121.35741824,134528645.68564326
40,2939147965.306211,2128231467.8671865,810916497.4390242
41,112859323.80609213,26108371.81535964,86750951.99073252
42,8111913.269648585,34748.40081168627,8077164.868836897
43,6784825.861244684,1031.7596072945194,6783794.101637389
44,62302817.021592855,260900.38404126448,62041916.63755158
45,22937635.557832208,96040.53795804582,22841595.019874167
46,87659.89779992809,20006.819373359212,67653.07842656887
47,1747262.8228212348,54897.311875159416,1692365.5109460754
48,69551384.14014012,3747961.7811347665,65803422.35900535
49,146048293183.1242,4589697372.637288,141458595810.48694
50,93100608457.4626,2925776508.048922,90174831949.41367
51,2962823798278398.5,93109527562692.6,2869714270715706.5
52,11453713106711.295,322942985382.0306,11130770121329.264
53,6636022005937.242,1716683866286.63,4919338139650.612
54,317420485118109.94,9975236213800.47,307445248904309.44
55,9243997080352.992,290501352705.5122,8953495727647.48
56,18238977771.135334,573185888.050332,17665791883.085
57,30.406996662004666,1.500261845379007,28.906734816625658
58,2.3634148916832807,0.5183206398768341,1.8450942518064468
59,2.3633903553296944,0.5183119899104771,1.8450783654192173
60,2.3633847154431034,0.5183077573194289,1.8450769581236741
61,2.3724163564698033,0.518330315044869,1.854086041424934
62,2.363379989590509,0.5182945624118809,1.845085427178628
63,2.374867650753768,0.5194893031898925,1.855378347563875
64,2.5198925510649812,0.5690340400467921,1.9508585110181889
65,1363728.1336382944,107608.87808151051,1256119.2555567839
66,23791841547.1108,517317465.74612063,23274524081.36469
67,247619725990069.72,49534268022605.78,198085457967463.9
68,6083471536009240.0,73485511261935.27,6009986024747304.0
69,758499181298630.9,162159619557798.56,596339561740832.5
70,2681074693998123.0,405475755182906.0,2275598938815217.0
71,2.8926874339972772e+16,403025140579436.5,2.8523849199393336e+16
72,2.2127108095920534e+17,3154802646816024.5,2.181162783123893e+17
73,9.962456940213216e+16,1.0098273863371312e+16,8.952629553876085e+16
74,4.319079312342779e+17,5.610902202819635e+16,3.7579890920608154e+17
75,3.2487418711811953e+18,4.882130266997735e+16,3.199920568511218e+18
76,4.4670227788005966e+19,9.184978503652262e+17,4.375172993764074e+19
77,4.810053077197867e+17,1.2922084370165411e+17,3.517844640181325e+17
78,5.189494758377663e+17,1.1084685182904254e+16,5.078647906548621e+17
79,3.2647327855212755e+17,1051737548430575.0,3.2542154100369696e+17
80,1.1400634959614257e+19,1.1500063770123338e+18,1.0250628582601925e+19
81,8.53486322983687e+19,3.016767992678051e+18,8.233186430569064e+19
82,1.7333898971369705e+18,1.7485073812596032e+17,1.55853915901101e+18
83,1.3409813231554595e+19,1.3526764788329216e+18,1.2057136752721674e+19
84,2.120895144121021e+19,3.451812433446226e+18,1.775713900776398e+19
85,1.7878398048365348e+18,5.105783826085023e+17,1.2772614222280325e+18
86,1.5070169000199064e+19,6.551537701525169e+17,1.4415015230046546e+19
87,7.583833751374197e+18,1897212618120910.8,7.581936538756076e+18
88,1.1379223693136006e+18,2.578360457354693e+17,8.800863235781315e+17
89,4.320361487384426e+18,1.4823680145178609e+18,2.837993472866565e+18
90,9.119060550905717e+18,1.614564567124833e+17,8.957604094193234e+18
91,1.5667531679842388e+18,8.887718095642758e+16,1.4778759870278113e+18
92,2.7052766758189245e+17,3.2651022320865004e+16,2.3787664526102746e+17
93,1.3715467047686931e+17,9067363552525834.0,1.2808730692434346e+17
94,4.214329887206019e+16,8195211174495478.0,3.394808769756472e+16
95,2.1422832610367044e+16,5409307198645290.0,1.6013525411721754e+16
96,1.7750238292726272e+18,1.8094867509564694e+17,1.59407515417698e+18
97,1.2626519052313067e+17,7680683361756867.0,1.1858450716137382e+17
98,1.6495225686370195e+17,1.0302479594207708e+16,1.5464977726949424e+17
99,3.0363490319018332e+16,926601130944454.8,2.9436889188073876e+16
100,9.020090476908282e+16,161130404838254.16,9.003977436424454e+16
101,3.5894165665723132e+16,3648754489761776.5,3.2245411175961356e+16
102,9.018273851319112e+16,1.3699417612153704e+16,7.64833209010374e+16
103,8.306723771816035e+16,1.7052802517589174e+16,6.6014435200571176e+16
104,5.37513637246348e+16,45588116406631.92,5.370577560822817e+16
105,2.684391035039516e+18,7.062876056274158e+17,1.9781034294121006e+18
106,5.629095804810908e+17,2.9102651813063692e+16,5.3380692866802714e+17
107,8.045491526700982e+17,6.155117250332109e+16,7.429979801667771e+17
108,6379932654688854.0,341990643024362.06,6037942011664492.0
109,6642490142439131.0,143436442145840.25,6499053700293290.0
110,7645768418865253.0,51853627469085.23,7593914791396168.0
111,3.2878457712393624e+16,9799481173895450.0,2.3078976538498176e+16
112,6799550671215336.0,1072993185947399.2,5726557485267937.0
113,4992668285357642.0,21639403830399.79,4971028881527242.0
114,2087059776207239.2,43635066234550.37,2043424709972689.0
115,16352918746021.654,483854258055.5362,15869064487966.12
116,6796949838983.334,42272132655.08028,6754677706328.251
117,6550392888722.9375,4554219841.141923,6545838668881.794
118,6377919365307.685,17526711500.90417,6360392653806.778
119,5394261814728.599,142638678349.112,5251623136379.487
120,4711832157684.155,95960606893.42311,4615871550790.733
121,1007300821262073.5,24578395561.60793,1007276242866511.9
122,5157745783733.982,66423563506.782814,5091322220227.2
123,4098594551627.1694,46045148229.63987,4052549403397.531
124,1006566648238102.5,25056706595.593197,1006541591531507.0
125,969335042819292.1,315172821490.03253,969019869997802.2
126,7627935048339.48,290217749919.26874,7337717298420.209
127,24209490200958.94,2621602532347.0317,21587887668611.914
128,2.796216890684614e+18,2.82060364834852e+17,2.5141565258497623e+18
129,1.873735456091696e+17,5.502487890285184e+16,1.3234866670631774e+17
130,6.077837238511831e+16,1.6109836061664476e+16,4.466853632345383e+16
131,2.6257119804761133e+17,2.6486117112039956e+16,2.3608508093557136e+17
