mode,mean_ref_amplitude,mean_pred_amplitude,mean_abs_spectral_error,relative_spectral_error,contribution_to_total_spectral_error
0,40.21238586020365,40.21238586279819,2.594513875469557e-09,6.452026707615049e-11,6.2873602405265646e-21
1,36.70820914176225,38.99486788484501,2.2871288488397883,0.06230565048834715,0.006511641737159076
2,28.23733287600008,9.538084114476051,19.82867374263003,0.7022148242436569,0.47981040230557676
3,18.892851014984238,4.91815201098521,14.692534455127483,0.7776769341733858,0.24569742777137785
4,11.516270947752394,22.770120854723544,11.541698191551781,1.002207940740084,0.15683352132901354
5,6.725826277519661,15.639075554019655,9.556578920103469,1.420878049146956,0.10386768978063231
6,3.9207911281922883,3.922778071694952,0.001987995197165456,0.0005070393020609687,8.58211968347627e-09
7,2.334178465405315,2.3373622349584635,0.0033070875679216283,0.0014168100755515172,2.444848734362475e-08
8,1.4288884691365464,0.1085996799889537,1.3202971554128677,0.924002946297622,0.006493704448636428
9,0.8981884069198428,0.8988795371310473,0.0008528342199207315,0.0009495048180875053,2.237535266117579e-09
10,0.5776705187759572,0.5786096574273351,0.0011310724465620002,0.0019579888704700774,5.328485969453059e-09
11,0.3788315155701949,0.46445571286485426,0.4588090623852705,1.211116402748853,0.0007054341996936441
12,0.2526068390305517,0.25290057299860236,0.00040858338465972184,0.0016174676276690413,7.58327355389156e-10
13,0.1708824532621615,0.17145159014405495,0.0006292686928362524,0.003682465231645825,2.506816845410193e-09
14,0.11706003297374612,0.11767510901613674,0.0006719743925573565,0.0057404254508288495,2.512195701881813e-09
15,0.0810823373304567,0.062384345581536105,0.12301423284769007,1.5171520320922303,7.971555561190388e-05
16,0.056716408164883485,0.056902528932968564,0.0006002030291863537,0.010582528911941488,8.30869044221688e-10
17,0.04002230227905599,0.040952106491397695,0.0009536632491304084,0.023828295595815046,1.3160672310214262e-08
18,0.02846572695093206,0.029019668148191045,0.000678797682095683,0.023846139017133266,2.487162928452473e-09
19,0.020391155362275107,0.021114615104512954,0.0008147123596946874,0.03995420294830157,5.4264278808244934e-09
20,0.014702086223541718,0.014547320000479477,0.0005832583770415146,0.03967181039297484,2.289855588840375e-09
21,0.010663248219368178,0.010173153198960137,0.0007940042044356885,0.07446175762780237,9.283404753233228e-09
22,0.007776069022350256,0.007876924201058249,0.00010959717446794183,0.014094161735567637,1.4245065682876017e-10
23,0.005699058156975172,0.005530747915407222,0.00029823888235639226,0.052331257927482756,1.4900461884581192e-09
24,0.004196159743053251,0.00403726759809826,0.0005698983528336654,0.13581426535944752,4.20918893779604e-09
25,0.0031028340363192138,0.0007052996641162802,0.0036834060992244847,1.187110253435915,3.3015164624964397e-07
26,0.0023035055011015647,0.00234651955572764,9.360224754564986e-05,0.040634696770156666,4.3819560135403606e-11
27,0.0017164210243044507,0.0018363901673635423,0.00012580544695213542,0.0732952143854774,2.2530774785190214e-10
28,0.0012833721136039527,0.0013956484212732944,0.00016423107918911428,0.12796840249857247,2.014588418945553e-10
29,0.0009626662308278049,0.0010597319687568228,0.0001029981597472078,0.10699259665381511,2.4105218371143714e-10
30,0.0007242709827366433,9.95798346149613e-05,0.0008101683946339586,1.1185984444285668,2.4834224078496966e-08
31,0.0005464420939568436,0.0007396813195981696,0.00022491962948554777,0.411607436493191,4.660441211151285e-10
32,0.000413357610651621,0.0002010297520366958,0.0005372860113508566,1.2998091664596996,8.310012262507288e-09
33,0.00031345396483725506,0.00013877176813473766,0.0003890445873459446,1.2411538247663771,4.933644663270057e-09
34,0.00023824224812714478,0.00014677495982866996,0.00035059236883058044,1.4715793340040881,3.0990140285456858e-09
35,0.00018146699365297422,6.23065274236961e-05,0.00022665520341730753,1.24901613706539,1.91877862318762e-09
36,0.0001384998947636025,6.302173463827761e-05,0.00017103997874179188,1.2349466332355716,1.0762568809234712e-09
37,0.00010590550825725736,7.606857832066504e-05,0.00016430841218370833,1.5514623827174618,6.934706686249282e-10
38,8.112418658379784e-05,0.00012172902045663663,0.00015097051406727632,1.8609803120963215,2.873994526949608e-10
39,6.224376302860458e-05,5.785549655000882e-05,9.995392611377888e-05,1.6058464535289152,2.373016848639137e-10
40,4.783055973139934e-05,5.035638739712937e-05,8.636093899207495e-05,1.8055598654301668,1.4323133887062433e-10
41,3.680748615025833e-05,3.732426922720012e-05,7.031183662774492e-05,1.9102591342617796,9.996598292454392e-11
42,2.836236193612801e-05,0.00014302087102220426,0.00015576901697007762,5.492103137279933,6.982340051624122e-11
43,2.1881989345881203e-05,0.00012554446953076692,0.00013807782631372582,6.310113040052087,5.458414246804663e-11
44,1.6901563056975674e-05,4.298877416102703e-05,5.421526855414767e-05,3.207707380162792,2.1932168004024133e-11
45,1.3068659047948794e-05,4.466471511269983e-05,5.633714393892677e-05,4.3108588059590724,2.0849385857758218e-11
46,1.0114832399312645e-05,7.697974787791949e-05,7.771292326234764e-05,7.683065837811473,2.1176092327887788e-11
47,7.835823174545901e-06,4.48203281096967e-05,4.304996100362646e-05,5.493993425409485,4.919220427707289e-12
48,6.0753149942203896e-06,7.113242581589953e-05,6.700462230061911e-05,11.028995593539168,6.933746522211569e-12
49,4.714041459301422e-06,7.054095231157907e-05,6.685034338881837e-05,14.181110617284428,1.2446363267775803e-11
50,3.6603028927891326e-06,6.608551230748419e-16,3.6603028930057435e-06,1.0000000000591784,1.1532769122926103e-12
51,2.8440101914839015e-06,6.655299059591884e-16,2.8440101917264515e-06,1.0000000000852844,7.037645750179106e-13
52,2.211007523299403e-06,7.814320982761018e-16,2.211007523614866e-06,1.0000000001426783,4.2947637155145346e-13
53,1.7198794496888325e-06,6.721772016627098e-16,1.7198794499243043e-06,1.0000000001369118,2.6212840553719463e-13
54,1.3384452072211895e-06,5.711428630737275e-16,1.3384452074355593e-06,1.0000000001601634,1.599851737681566e-13
55,1.042122719454009e-06,7.185342199570997e-16,1.0421227196636853e-06,1.0000000002012013,9.765893822193161e-14
56,8.116785783721234e-07,7.214365097184917e-16,8.116785786784212e-07,1.0000000003773635,5.960815109401457e-14
57,6.324727730512767e-07,8.094159495547164e-16,6.324727732966324e-07,1.0000000003879308,3.6390015538906535e-14
58,4.929451820560072e-07,5.5867714739819e-16,4.929451822839483e-07,1.0000000004624066,2.2211777358637346e-14
59,3.843586836965569e-07,8.009530600764909e-16,3.8435868393960965e-07,1.0000000006323593,1.3561258029229633e-14
60,2.997245715402578e-07,1.1024432694052097e-15,2.9972457200214247e-07,1.0000000015410304,8.277317563729069e-15
61,2.3382626880042677e-07,6.942060057044122e-16,2.3382626901356228e-07,1.0000000009115122,5.054178817367291e-15
62,1.8241122510681665e-07,9.788653023709543e-16,1.824112253445163e-07,1.0000000013030976,3.0846656072765347e-15
63,1.4237048698827692e-07,2.8451706517256927e-15,1.4237048808195898e-07,1.0000000076819437,1.8837669230788283e-15
64,1.1109603818096508e-07,5.736097463458929e-16,1.110960384694418e-07,1.0000000025966427,1.1495441465481517e-15
65,8.674451419097129e-08,2.771777873448529e-15,8.674451564980413e-08,1.0000000168175804,7.021485548258226e-16
66,6.770009560855644e-08,1.037455122172162e-15,6.77000958827646e-08,1.0000000040503365,4.2838061512446343e-16
67,5.288109899072143e-08,6.496702127845376e-16,5.288109920513403e-08,1.0000000040546169,2.6173482190608653e-16
68,4.1272473763671924e-08,1.20218064163946e-15,4.127247418073113e-08,1.0000000101050208,1.5962680284887714e-16
69,3.2251596778806144e-08,8.865438103761534e-16,3.225159722808173e-08,1.0000000139303362,9.757467538241695e-17
70,2.5168471295479925e-08,6.320073525650566e-16,2.51684714666704e-08,1.0000000068017827,5.947484575407682e-17
71,1.967726984602665e-08,8.331920436496138e-16,1.9677270119762658e-08,1.00000001391128,3.6381274347973506e-17
72,1.5350655887523407e-08,7.391771991656873e-16,1.535065609169767e-08,1.0000000133006866,2.2155512157488e-17
73,1.2009569972981409e-08,8.16055263985059e-16,1.2009570306017014e-08,1.0000000277308518,1.3568139274831085e-17
74,9.363077057580516e-09,5.453576962300265e-16,9.363077205192799e-09,1.0000000157653604,8.250943829412473e-18
75,7.332352807687129e-09,6.907793097314271e-16,7.332353100914256e-09,1.0000000399908644,5.062009225295317e-18
76,5.7104737840267825e-09,7.757500526885203e-16,5.710474048294632e-09,1.000000046277745,3.0713087470630727e-18
77,4.478578155150468e-09,6.860963201052545e-16,4.478578405146694e-09,1.0000000558204452,1.889642327691697e-18
78,3.481854963657573e-09,5.497762271699588e-16,3.4818550948051187e-09,1.000000037665999,1.1424078725177315e-18
