step,loss,weighted_loss,initial_loss,residual_loss,initial_weight,residual_weight
1,66893.3816713659,66893.3816713659,6623.462322036848,658.7584509974462,10.0,1.0
2,635.005405117079,635.005405117079,62.29862771917382,12.019127925340808,10.0,1.0
3,60364204.89743647,60364204.89743647,2668757.974646765,33676625.150968805,10.0,1.0
4,17240396.216698915,17240396.216698915,761926.1393070739,9621134.823628176,10.0,1.0
5,16185.045529521794,16185.045529521794,703.0867855933798,9154.177673587996,10.0,1.0
6,36.30290615505742,36.30290615505742,3.145499573003251,4.847910425024907,10.0,1.0
7,232.49427318964158,232.49427318964158,0.25748354596037276,229.9194377300378,10.0,1.0
8,6.477420317085228,6.477420317085228,0.25937995672401276,3.883620749845099,10.0,1.0
9,31.54997063018952,31.54997063018952,2.5417564329091475,6.132406301098038,10.0,1.0
10,4.756277864510315,4.756277864510315,0.07646704645066184,3.991607400003696,10.0,1.0
11,3.697337144787288,3.697337144787288,0.12535825998551195,2.4437545449321676,10.0,1.0
12,2.631976439537417,2.631976439537417,0.0636292518264719,1.9956839212726987,10.0,1.0
13,3140.8134036635065,3140.8134036635065,313.4555918266794,6.257485396711825,10.0,1.0
14,38.52974360860016,38.52974360860016,3.67468562493143,1.7828873592858507,10.0,1.0
15,4679.161501792772,4679.161501792772,463.66990577498973,42.46244404287372,10.0,1.0
16,36781920.39451418,36781920.39451418,3674644.9590511518,35470.80400267976,10.0,1.0
17,1832137.8517735407,1832137.8517735407,7730.737959586694,1754830.4721776745,10.0,1.0
18,1701379.598350308,1701379.598350308,179.5581653460522,1699584.016696848,10.0,1.0
19,1167830379.7900138,1167830379.7900138,116699496.7767107,835412.0229066612,10.0,1.0
20,14792472922.229483,14792472922.229483,1473345687.0512283,59016051.717196316,10.0,1.0
21,429852039.9146511,429852039.9146511,42150594.85605948,8346091.35405621,10.0,1.0
22,31256780.22719872,31256780.22719872,2366343.3696345384,7593346.53085333,10.0,1.0
23,7353838.624030016,7353838.624030016,50.732733280012106,7353331.296697216,10.0,1.0
24,6743281.402643114,6743281.402643114,26475.283761296192,6478528.565030152,10.0,1.0
25,3981871.2239623084,3981871.2239623084,157682.94802968312,2405041.7436654777,10.0,1.0
26,3.727510012613724e+16,3.727510012613724e+16,3722517969633616.5,49920429801075.36,10.0,1.0
27,637786402.6662422,637786402.6662422,62436001.24022716,13426390.263970299,10.0,1.0
28,25665866.570348743,25665866.570348743,1229330.0323330527,13372566.247018216,10.0,1.0
29,13328516.97213543,13328516.97213543,14.561160376881132,13328371.36053166,10.0,1.0
30,13222107.883587068,13222107.883587068,3961.226115028703,13182495.622436779,10.0,1.0
31,12520043.761493068,12520043.761493068,54291.28881377837,11977130.873355279,10.0,1.0
32,1.2275201963570002e+17,1.2275201963570002e+17,1.2258907503509816e+16,162944600601875.47,10.0,1.0
33,14688715744.875002,14688715744.875002,1436278258.2660031,325933162.21497035,10.0,1.0
34,307059206.1934267,307059206.1934267,109256.94815777229,305966636.7118491,10.0,1.0
35,309481094.9511823,309481094.9511823,7804.250103175731,309403052.45015055,10.0,1.0
36,297448801.87528384,297448801.87528384,1262846.703918743,284820334.83609647,10.0,1.0
37,734019971730.7405,734019971730.7405,73374928444.43971,270687286.3431382,10.0,1.0
38,10369204401912.246,10369204401912.246,1031930039270.5117,49904009207.12875,10.0,1.0
39,1105661845780.9746,1105661845780.9746,106797840801.2286,37683437768.688065,10.0,1.0
40,34407197325.33201,34407197325.33201,69609831.47577536,33711099010.574257,10.0,1.0
41,33711996473.76603,33711996473.76603,364268.3934731273,33708353789.8313,10.0,1.0
42,32830096848.77728,32830096848.77728,36764346.819891766,32462453380.578365,10.0,1.0
43,27500037074.323593,27500037074.323593,393056979.35807204,23569467280.742874,10.0,1.0
44,9790540028.53885,9790540028.53885,729380057.4616414,2496739453.922439,10.0,1.0
45,307788522.1259507,307788522.1259507,11586441.50028888,191924107.12306195,10.0,1.0
46,122862918.95448026,122862918.95448026,1079.7833712013423,122852121.12076825,10.0,1.0
47,122019500.70725904,122019500.70725904,2546.6265802888015,121994034.44145612,10.0,1.0
48,116618069.95603146,116618069.95603146,61422.19868000077,116003847.96923146,10.0,1.0
49,86674137.77122016,86674137.77122016,393595.1176920731,82738186.59429939,10.0,1.0
50,17567100.207945272,17567100.207945272,290766.61735976243,14659434.034347652,10.0,1.0
51,102064.33357090811,102064.33357090811,434.05054186905676,97723.82815221751,10.0,1.0
52,6.016389398188461,6.016389398188461,0.10240711990655044,4.992318199122957,10.0,1.0
53,2.071168178398443,2.071168178398443,0.055385494478381404,1.5173132336146284,10.0,1.0
54,2.071576680119307,2.071576680119307,0.05538452473350779,1.5177314327842293,10.0,1.0
55,2.1021297641852135,2.1021297641852135,0.05535257088358126,1.5486040553494014,10.0,1.0
56,2.070475055952359,2.070475055952359,0.05534391579485999,1.5170358980037588,10.0,1.0
57,2.0725474925897722,2.0725474925897722,0.05536355499654765,1.5189119426242959,10.0,1.0
58,2.0712411482813358,2.0712411482813358,0.05547703632909877,1.5164707849903474,10.0,1.0
59,2.0697033762804504,2.0697033762804504,0.05534035471915612,1.5162998290888885,10.0,1.0
60,2.0696569887759098,2.0696569887759098,0.055339142165642806,1.5162655671194818,10.0,1.0
61,2.072443715936199,2.072443715936199,0.05561543427361232,1.5162893732000762,10.0,1.0
62,2.0695673049780465,2.0695673049780465,0.05533820269561545,1.5161852780218918,10.0,1.0
63,2.0694876742165382,2.0694876742165382,0.05533701076449086,1.5161175665716293,10.0,1.0
64,2.0714983849337183,2.0714983849337183,0.05553486199950977,1.5161497649386204,10.0,1.0
65,2.0698389008499363,2.0698389008499363,0.05533648025897419,1.5164740982601943,10.0,1.0
66,2.0692665016144134,2.0692665016144134,0.05533635939043905,1.5159029077100228,10.0,1.0
67,2.069424219260855,2.069424219260855,0.055353646813549685,1.5158877511253581,10.0,1.0
68,2.069154093176134,2.069154093176134,0.05533460270667127,1.5158080661094209,10.0,1.0
69,2.0691268164818712,2.0691268164818712,0.055334554301911254,1.515781273462759,10.0,1.0
70,2.069175073438194,2.069175073438194,0.055335302263135946,1.5158220508068354,10.0,1.0
71,2.0690794096857235,2.0690794096857235,0.05533522369302272,1.5157271727554968,10.0,1.0
72,2.069085524642145,2.069085524642145,0.05533352294758715,1.5157502951662736,10.0,1.0
73,2.0699924209913725,2.0699924209913725,0.055407238806529875,1.5159200329260742,10.0,1.0
74,2.0690890793432843,2.0690890793432843,0.05533651303927702,1.515723948950515,10.0,1.0
75,2.068985099464264,2.068985099464264,0.0553338153811339,1.515646945652925,10.0,1.0
76,2.0797246382246364,2.0797246382246364,0.05564533467430141,1.5232712914816224,10.0,1.0
77,2.068943179816954,2.068943179816954,0.05533531430931142,1.51559003672384,10.0,1.0
78,2.068917744414547,2.068917744414547,0.0553346816573546,1.5155709278410003,10.0,1.0
79,2.0700889427608478,2.0700889427608478,0.05536792803355881,1.5164096624252594,10.0,1.0
80,2.0688988226153597,2.0688988226153597,0.055334728462364424,1.515551537991715,10.0,1.0
81,2.0828903712614526,2.0828903712614526,0.055345316937378645,1.529437201887666,10.0,1.0
82,2.0691777027079437,2.0691777027079437,0.055335092045341955,1.5158267822545246,10.0,1.0
83,2.069188445547991,2.069188445547991,0.05536362906420088,1.5155521549059827,10.0,1.0
84,2.0689445749711277,2.0689445749711277,0.05533565083767518,1.5155880665943757,10.0,1.0
85,2.0689443565514614,2.0689443565514614,0.055335542849590864,1.5155889280555528,10.0,1.0
86,2.0780976030296654,2.0780976030296654,0.055473353007505735,1.523364072954608,10.0,1.0
